Source	Target	Type	Timestamp	Weight	OtherInfo	datum	b1-nummer	achternaam	voorletters	voorna(a)m(en)	roepnaam	prepositie	geslacht
6	11015	Directed		1.0	"lid raad van advies ""vrienden van het centrum voor holocaust- en genocidestudies"""		1899	Linden	P.R.H.M.	Pierre René Hubert Marie	René	van der	m
6	11018	Directed		1.0	"voorzitter """""	00-00-2007/00-10-2010	2886	Hillen	J.S.J.	Johannes Stefanus Joseph	Hans		m
6	11019	Directed		1.0	"lid bestuur """""		12222	Franken	H.	Hendrik	Hans		m
6	11022	Directed		1.0	lid		2370	Hessels	J.W.M.M.J.	Jozef Wilhelmus Maria Michel Johannes	Jos		m
6	11029	Directed		1.0	lid vriendschapsvereniging nederland-roemenië	00-00-1995/	3021	Russell	P.W.L.	Paulus Wilhelmus Ludgerus	Paul		m
6	11038	Directed		1.0	"lid bestuur vroedvrouwenschool ""elisabeth kliniek"" te heerlen"	/(omstreeks: 00-12-1982)/(00-04-1989)/	2675	Oomen-Ruijten	M.G.H.C.	Maria Gertruda Hermina Cecilia	Ria		v
6	11040	Directed		1.0	lid vrom-raad	01-01-1997/	2748	Brinkman	L.C.	Leendert Cornelis	Elco		m
6	11044	Directed		1.0	"voorzitter werkgroep ""vrouw en gezondheidszorg in oost-europa"", nizw"	00-00-1999/	3055	Schermers	J.P.	Janneke Paulette	Janneke		v
6	11046	Directed		1.0	"lid bestuur """""		2331	Oerle-van der Horst	N.W.	Nicolina Wilhelmina	Niny	van	v
6	11051	Directed		1.0	"voorzitter werkgroep """""	00-00-1996/00-00-1998	2801	Visser-van Doorn	M.C.W.	Marijtje Cornelia Willemijntje	Marry		v
6	11064	Directed		1.0	"lid raad van commissarissen woonstichting ""vryleve"" te lobith"	00-00-2010/	2290	Beeten	R.H.	Robertus Hermanus	Rob	van de	m
6	11065	Directed		1.0	lid raad van advies vsb-fonds	00-00-2006/00-06-2010	3166	Vries-Leggedoor	G.	Grietje	Greetje	de	v
6	11066	Directed		1.0	voorzitter vsb-fonds	00-00-1990/01-01-2005	2842	Glasz	J.R.	Jacob Rienk	Jaap		m
6	11067	Directed		1.0	lid bestuur vsb-fonds schiedam/vlaardingen	00-00-1994/00-07-2002	2501	Ardenne-van der Hoeven	A.M.A.	Anna Maria Agnes	Agnes	van	v
6	11069	Directed		1.0	voorzitter jury vsb-poëzieprijs 2012		2310	Ferrier	K.G.	Kathleen Gertrud	Kathleen		v
6	11072	Directed		1.0	vicevoorzitter algemeen bestuur	00-00-2009/	2831	Rooy	Y.C.M.Th.	Yvonne Catharina Maria Theresia	Yvonne	van	v
6	11073	Directed		1.0	lid algemeen bestuur vsnu (vereniging samenwerkende nederlandse universiteiten)		3173	Flierman	A.H.	Anne Herman	Anne		m
6	11074	Directed		1.0	lid commissie strategie en public affairs, vsnu (vereniging van samenwerkende nederlandse universiteiten)		3173	Flierman	A.H.	Anne Herman	Anne		m
6	11077	Directed		1.0	voorzitter bestuur vsop (vereniging samenwerkende ouder- en patiëntenorganisaties)	00-06-2010/	16044	Martens	M.J.Th.	Maria Johanna Theodora	Maria		v
6	11085	Directed		1.0	voorzitter vu-podium	00-00-1999/00-00-2004	2280	Woldring	H.E.S.	Hendrik Egbert Sipke	Henk		m
6	11086	Directed		1.0	lid raad van advies		2204	Atsma	J.J.	Johannes Jan	Joop		m
6	11091	Directed		1.0	lid vvao (vereniging van vrouwen met academische opleiding)		2568	Assen	J.G.M.	Johanna Gesina Maria	Anneke		v
6	11097	Directed		2.0	voorzitter vvn (veilig verkeer nederland)	00-06-2014/	2371	Spies	J.W.E.	Jantje Wilhelmina Elisabeth	Liesbeth		v
6	11102	Directed		1.0	lid vvsu (vereniging van vrouwelijk studenten utrecht)		2831	Rooy	Y.C.M.Th.	Yvonne Catharina Maria Theresia	Yvonne	van	v
6	11103	Directed		1.0	erelid		2996	Gennip	C.E.G.	Catharina Elisabeth Godefrida	Karien	van	v
6	11105	Directed		2.0	ambassadeur/adviseur vvv appingedam/slochteren/ten boer	01-01-2005/	2375	Jager	H.	Henderikus	Rikus		m
6	11109	Directed		1.0	adviseur regio-vvv noord- en midden-groningen		2375	Jager	H.	Henderikus	Rikus		m
6	11110	Directed		1.0	voorzitter samenwerkende vvv's noord-brabant	00-00-2008/00-00-2010	2318	Lith	M.Th.J.M.	Martinus Theodorus Johannes Maria	Erik	van	m
6	11111	Directed		1.0	lid bestuur	01-04-1997/00-00-2002	2375	Jager	H.	Henderikus	Rikus		m
6	11114	Directed		1.0	lid bestuur	/(omstreeks: 00-03-1995)/	2501	Ardenne-van der Hoeven	A.M.A.	Anna Maria Agnes	Agnes	van	v
6	11119	Directed		1.0	"lid voetbalvereniging ""w.h.c."" (wezep hattemerbroek combinatie) te wezep"		2237	Rietkerk	Th.W.	Theodoor Wolframp	Theo		m
6	11128	Directed		1.0	voorzitter raad van toezicht	/00-00-2007	15088	Hendrikx	J.A.M.	Jan Andreas Marie	Jan		m
6	11129	Directed		1.0	lid raad van toezicht	/(omstreeks: 00-00-1999)/	2841	Boorsma	P.B.	Peter Bauke	Peter		m
6	11130	Directed		1.0	voorzitter	01-01-1999/01-01-2007	15088	Hendrikx	J.A.M.	Jan Andreas Marie	Jan		m
6	11135	Directed		1.0	"voorzitter bestuurlijk overleg herindeling platteland """""	31-12-1996/	1891	Eversdijk	H.	Hubrecht	Huib		m
6	11137	Directed		1.0	voorzitter bestuur		2894	Luimstra-Albeda	M.	Mintje	Minny		v
6	11145	Directed		1.0	vicevoorzitter	00-10-2008/00-04-2012	9330	Rij	M.L.A.	Marnix Leonard Alexander	Marnix	van	m
6	11147	Directed		1.0	voorzitter		17518	Bot	B.R.	Bernard Rudolf	Ben		m
6	11154	Directed		1.0	adviseur	/00-03-2015	3426	Kesteren	N.J.J.	Nicolaas Johannes Jacobus	Niek Jan	van	m
6	11159	Directed		1.0	"voorzitter raad van commissarissen waterleidingmaatschappij ""biesbosch"""		2748	Brinkman	L.C.	Leendert Cornelis	Elco		m
6	11161	Directed		1.0	lid raad van commissarissen	/(omstreeks: 00-10-1986)/	2820	Esselink	A.H.	Albert Harman	Berry		m
6	11163	Directed		1.0	bemiddelaar conflict over	00-12-2008/	1885	Braks	G.J.M.	Gerardus Johannes Maria	Gerrit		m
6	11165	Directed		1.0	"waarnemend dijkgraaf waterschap ""de grote waard"""		2394	Veerman	C.P.	Cornelis Pieter	Cees		m
6	11166	Directed		1.0	hoofdingeland	00-00-1988/00-00-1990	2885	Graaf	J.	Jan	Jan	de	m
6	11167	Directed		1.0	lid van het bestuur	00-00-1993/00-00-2000	3174	Tiesinga	H.L.	Hendrik Lammert	Henk		m
6	11168	Directed		1.0	hoofdingeland	00-00-1983/	3020	Peijs	K.M.H.	Karla Maria Henriëtte	Karla		v
6	11172	Directed		1.0	lid algemene vergadering		2213	Buijs	S.	Salomon	Siem		m
6	11177	Directed		1.0	lid stuurgroep web (wet educatie beroepsonderwijs)	01-06-1999/01-12-2000	2992	Walsma	J.	Jacobus	Kobus		m
6	11181	Directed		1.0	redacteur	01-02-2001/	3007	Essers	P.H.J.	Petrus Hubertus Johannes	Peter		m
6	11184	Directed		1.0	medewerker 'wegwijsprojecten' van het ipp (instituut voor publiek en politiek)		2337	Sterk	W.R.C.	Willemina Roziena Catharina	Mirjam		v
6	11195	Directed		1.0	lid		3016	Nap-Borger	H.J.	Herma Janny	Herma		v
6	11198	Directed		1.0	"lid redactie """""	00-00-1999/	2310	Ferrier	K.G.	Kathleen Gertrud	Kathleen		v
6	11200	Directed		1.0	lid raad van commissarissen wereldhave n.v.	01-04-2005/01-05-2013	3007	Essers	P.H.J.	Petrus Hubertus Johannes	Peter		m
6	11201	Directed		1.0	lid raad van commissarissen wereldhave n.v. te 's-gravenhage	/00-00-2003	2268	Lemstra	W.	Wolter	Wolter		m
6	11207	Directed		1.0	algemeen commissaris	01-12-2009/	2883	Gabor	J.D.	Jenö Dzsingisz	Dzsingisz		m
